valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
540000;RESIDENCIAL ÁGUAS DE TAMBAÚ, RUA BURITI NORTE. (Águas Claras / DF)  OPORTUNIDADE: 02 QUARTOS + DCE / 74 M² / LAZER COMPLETO.  Apartamento com excelnete planta e distribuição!!!, ar...;Rua Buriti; Norte;2;1;2;74;0;778;Nenhuma;0;0;0;0;0;0
519004;Conheça todos os detalhes do Reserva Parque Clube, mais informações abaixo! ENTREGA SETEMBRO DE 2023 Você que está à procura de ter o primeiro imóvel ou está em busca de investir s...;Avenida Parque Águas Claras; Aguas Claras;2;1;2;63;0;0;Nenhuma;0;0;0;0;0;0
1350000;APARTAMENTO de 145,00 m² com 4 quartos(s), Rua 26, Venda, R$1.350.000,00   Código De Busca: 100302   FM Imóveis   http://www.fmimoveis.com.br/imovel/apartamento 4 quartos venda nor...;Rua Arariba; Sul;4;4;5;145;1730;1300;Nenhuma;0;0;0;0;0;0
349000;Oportunidade – Tagua Life CSG 3   Taguatinga Sul  Excelente Aptº de 48m2 com 1 quarto, sala, cozinha, wc social, varanda, 1 vaga de garagem, Ar condicionado, Área de serviço    Uni...;CSG 3; Taguatinga Sul;1;1;1;48;0;349;Nenhuma;0;0;1;0;0;0
520002;Reserva Parque Clube   2 e 3 Quartos   Sinal Facilitado Conheça todos os detalhes do Reserva Parque Clube, mais informações abaixo! ENTREGA SETEMBRO DE 2023 Você que está à procura...;Rua das Carnaúbas; Aguas Claras;2;1;2;63;0;0;Nenhuma;0;0;0;0;0;0
0;Quadra 206   Residencial Madeira   Para você que busca um apartamento de 02 quartos em Águas Claras, dentro de quadra, você acabou de encontrar. Belíssimo apartamento de 02 quartos...;Quadra 206; Aguas Claras;2;1;1;67;1053;550;Destaque;0;0;0;0;0;0
69999;Ágio em São Sebastião no condomínio crixás, fica no primeiro andar, com 2 quartos, sala, cozinha, banheiro!! Apartamento de 48 metros quadrados!! Com parcelas de 112$, saldo devedo...;Crixa; Brasília;2;1;1;50;0;0;Nenhuma;0;0;0;1;0;0
535900;"Mais Um Super Lançamento; Residencial Ligia Valois Rua 31 Sul lote 11 localizado na região de Águas Claras!  Imagine poder viver o estilo de vida que você quer em um só lugar. O LV...";Rua 31; Sul (Águas Claras);2;1;2;55;0;0;Destaque;0;0;0;0;0;0
690000;:: Bella Cintra: 3 quartos reformado c/ varanda e lazer em Águas Claras O APARTAMENTO . 3 Quartos (sendo 1 suíte) . 82 m2 . Andar alto . Vista livre . Varanda . Sala ampla (2 ambie...;Rua 16; Sul;3;1;2;82;0;569;Destaque;1;0;1;0;0;0
415000;A SAMUEL IMOBILIARIA oferece a você essa excelente apartamento em Águas Claras   Residencial Costa Azul  DO IMÓVEL: Área : 58,33 m² Apartamento composto por:   2 quartos, sendo 1 s...;QS 5 Rua 120; Aguas Claras;2;1;1;58;0;637;Destaque;0;0;0;0;0;0
415000;EXCELENTE APARTAMENTO REFORMADO!   Apartamento com projeto de iluminação   Armários planejados   Área de escritório   Alto padrão com piso em porcelanato   Vista livre e nascente  ...;Rua 4; Aguas Claras;1;1;1;45;467;445;Nenhuma;0;0;0;0;0;1
1250000;O apartamento no bairro Setor Noroeste possui 79 metros quadrados com 2 quartos sendo 1 suite e 3 banheiros Possui área de fitness, espaço gourmet, jardim, área de recreação infant...;SQNW 108 Bloco F; Setor Noroeste;2;1;3;79;1500;1000;Nenhuma;1;0;0;1;0;0
2080000;DALL'OCA IMÓVEIS VENDE  Descubra o apartamento dos seus sonhos no Setor Noroeste!   Este espaçoso apartamento vazado oferece uma sala para dois ambientes e cozinha em conceito aber...;SQNW 104 Bloco J; Setor Noroeste;3;2;4;143;0;0;Destaque;0;0;0;0;0;0
340000;APARTAMENTO DE 01 QUARTO COM VARANDA, ANDAR ALTO, NO RESIDENCIAL BLEND EM ÁGUAS CLARAS.  Unidade em andar alto, nascente, varanda com vista para área de lazer, e completa em armári...;Avenida das Araucárias; Aguas Claras;1;1;1;32;0;460;Destaque;0;0;1;0;0;0
580000;Residencial Reviera   Águas Claras Norte   2 quartos com armários sendo 1 suíte  1 banheiro social com armários   Sala para 2 ambientes com projeto de iluminação   Cozinha com armá...;Norte; Brasília;2;1;1;70;1084;477;Nenhuma;1;0;0;0;0;0
520000;O apartamento está localizado no bairro Norte tem 83 metros quadrados com 2 quartos e 2 banheiros Possui salão de festas. Vai lhe possibilitar curtir os dias mais quentes na piscin...;Quadra 104; Aguas Claras;2;0;2;83;0;474;Nenhuma;0;0;0;1;1;0
2637640;Apartamento 4 suites, lazer completo, com 4 vagas de garagem no NOROESTE BRASILIA DFCodigo anúncio: VILLA146417   202303260114;SQNW 303 Bloco B; Setor Noroeste;4;4;6;227;0;0;Super destaque;1;0;0;0;0;0
510000;A TOP LINE PRIME tem orgulho de oferecer um novo conceito de morar bem.  Localizado no coração de Brasília, junto ao Eixo Monumental e próximo à Esplanada dos Ministérios.  A pouco...;CCSW 1; Setor Sudoeste;1;1;1;26;0;410;Super destaque;0;0;0;0;0;0
2510927;Paulo Melo Carvalho apresenta esse Excelente Apartamento no Residencial Jane Godoy com as seguintes especificações:    Apartamento de meio com 160,45 m² no 1º andar   Sensor de abe...;Asa Norte; Brasília;4;4;2;160;0;0;Super destaque;0;0;0;0;0;0
264000;Vendo apartamento de 31m2 com 1 quarto com garagem.  Localizado na QE 01 do Lúcio Costa   Guará   Brasília   DF.  Mobiliado, vazado, vista livre, elevador, garagem e churrasqueira....;Quadras Economicas Lucio Costa; Brasília;1;1;1;31;250;250;Destaque;0;0;0;0;0;0
520007;Reserva Parque Clube   2 e 3 Quartos   Sinal Facilitado Conheça todos os detalhes do Reserva Parque Clube, mais informações abaixo! ENTREGA SETEMBRO DE 2023 Você que está à procura...;Rua das Carnaúbas; Aguas Claras;2;1;2;63;0;0;Nenhuma;0;0;0;0;0;0
170000;Apartamento de um quarto, banheiro social, sala, cozinha, área de serviço e garagem para dois veículos. 4° andar.  O imóvel está localizado na Colônia Agrícola Bernardo Sayão Cháca...;Guara II; Brasília;1;0;1;50;0;0;Super destaque;0;0;0;0;0;0
735000;Vendo um ótimo apartamento no Residencial Firenze em Águas Claras.   Possui 3/4 amplos, sendo uma suíte, 3 banheiros, sala para dois ambientes bem espaçosa, cozinha, área de serviç...;Avenida Parque Águas Claras; Norte;3;1;3;88;0;0;Destaque;1;0;0;0;0;0
530000;"A Home Imobiliária disponibiliza para venda:  Residencial Mondrian Antares  Apartamento com 2 quartos sendo uma suíte   62 m²   Sala;   Cozinha americana integrada;   Área de servi...";Rua Buriti; Norte (Águas Claras);2;1;2;62;980;675;Destaque;1;0;0;0;0;0
490000;"Apartamento totalmente reformado, moderno!  2 quartos sendo 1 suíte, banheiro; Sala com 2 ambientes; Cozinha, área de serviço, garagem; Todos armários planejados; Excelente imóvel!...";Quadra AC 2; Riacho Fundo I;2;1;2;80;600;580;Nenhuma;1;0;0;0;0;1
210000;Vendo apartamento na planta de 58m no último andar, prédio com elevador,   rua residencial calma, 1km do Taguatinga Shopping, comércio próximo,   última unidade com vista e venti...;QSD 14; Taguatinga Sul;2;0;2;58;0;0;Nenhuma;0;0;0;0;0;0
470000;Residencial Ilha do Mel   Excelente Apartamento 3 quartos sendo 1 suíte à venda, Alameda Gravatá, QD 301 em Águas Claras   Brasília – DF.   67,39m² de área privativa e 119,79m² de...;Alameda Gravatá Quadra 301 Conjunto 20; Aguas Claras;3;2;2;68;0;583;Destaque;1;0;0;0;0;0
280000;Residencial Tagua Ville   Apartamento 2 quartos  Taguatinga Norte.  Residencial Tagua Ville, 46 mts² Apartamento 2 Quartos, sala, cozinha americana, área de serviço, Painel sob med...;QNH 11; Taguatinga Norte;2;1;1;46;0;370;Destaque;0;0;0;0;0;0
840000;Samuel Imobiliária oferece: Excelente apartamento dentro de Quadra, em frente a Praça Graúna, em uma das melhores localizações de Águas Claras.      Localizado próximo à Estação Co...;Quadra 209; Sul (Águas Claras);4;2;3;96;0;0;Nenhuma;0;0;0;1;0;0
329000;Apartamento lindo reformado 15 minutos do Park Shopping!   Apartamento amplo com excelente reforma, piso em porcelanato, armários planejados, mobiliado, fechadura digital, cozinha/...;Avenida Central Área Especial 19; Núcleo Bandeirante;3;0;1;70;528;350;Nenhuma;0;0;0;0;0;1
130000;Apartamento bem localizado no Riacho Fundo, com 2 quartos, com 1 suíte, cozinha americana, todo na cerâmica, perto do comércio da região.  ;QS 12; Riacho Fundo I;2;0;2;45;0;0;Nenhuma;1;0;0;0;0;0
140000;Apartamento para Venda no bairro Ceilândia Sul (Ceilândia), localizado na cidade de Brasília / DF, ponto de referência PERTO DO TERMINAL DO PSUL.     Com 2 dormitórios, possui 1 ba...;Setor Habitacional Sol Nascente; Ceilandia Sul;2;1;1;49;0;75;Nenhuma;0;0;0;0;0;0
1650000;Samuel Imobiliária oferece:  Península   Viva no mais completo residencial de Águas Claras.  Lindo apartamento com 180 m², nascente, andar alto, unidade totalmente reformada com to...;Avenida das Araucárias; Aguas Claras;3;3;1;180;0;780;Nenhuma;0;0;0;0;0;0
215000;***EXCELENTE IMÓVEL***    COMPOSTO POR:     66M2    03 QUARTOS AMPLOS BEM DIVIDIDOS VENTILADOS E AREJADOS    COZINHA SEPARADA   SALA BEM AMPLA   PISO EM PORCELANATO    PE DIREITO A...;Colônia Agrícola Bernardo Sayão Chácara 1; Guara II;3;0;1;66;0;200;Nenhuma;0;0;0;0;0;0
250000;Residencial Taguaville Vendo Excelente apartamento 2 quartos com quase 50m² sendo sala, cozinha americana,  área de serviço, banheiro.  Vaga na garagem coberta!  Painel sob medida...;QNH Área Especial 3; Taguatinga Norte;2;1;1;47;0;0;Nenhuma;0;0;0;0;0;0
350000;"Residencial Via Tropical  2 quartos  (Samambaia Sul)  Apartamento de 2 quartos com 64 m² sendo uma suíte, banheiro social Sala para dois ambientes e varanda ; Cozinha planejada com...";Quadra 301 Conjunto 7; Samambaia Sul;2;1;2;64;0;560;Nenhuma;1;0;1;0;0;1
180000;O apartamento no bairro Riacho Fundo I tem 46 metros quadrados com 2 quartos, sala, cozinha, área de serviço e banheiro!  Excelente localização  Não aceita FGTS. Direto com a const...;QN 1; Riacho Fundo I;2;1;1;46;0;0;Nenhuma;0;0;0;1;0;0
225000;Apartamento 1 quarto, mobiliado! Na melhor localização do Cruzeiro Velho Brasília DF .   Conexão perfeita entre a vida moderna e a necessidade do bem estar! Edifício Piaz...;Cruzeiro Velho; Brasília;1;1;1;26;42;427;Nenhuma;0;0;0;0;0;0
100000;ENZO IMÓVEIS VENDE!     R$ 100.000,00     QMS 54 SETOR DE MANSÕES DE SOBRADINHO     Apartamento para Venda no bairro Setor de Mansões de Sobradinho, localizado na cidade de Brasíli...;QMS 54; Setor de Mansões de Sobradinho;1;0;1;43;0;0;Nenhuma;0;0;0;0;0;0
1629000;Top imobiliária disponibiliza para venda excelente imóvel em!!!  Rua Babaçu Residencial Première 4 Quartos 4 Suítes 3 Vagas 189 m² Excelente apartamento em uma das melhores localiz...;Rua Babaçu; Sul;4;3;6;189;1400;1250;Nenhuma;1;0;0;0;0;0
653000;Reserva Parque Clube   Pré Cadastro para a torre 9!!! Últimas unidades das torres 1 a 4 Conheça todos os detalhes do Reserva Parque Clube, mais informações abaixo! ENTREGA SETEMBRO...;Rua das Carnaúbas; Norte (Águas Claras);3;2;2;82;0;0;Nenhuma;0;0;0;0;0;0
180000;"Apartamento no 9º andar, todo no piso vinílico; de 1 quarto sem armário planejado;  cozinha americana com armários planejados; 1 sala de estar com espaço para mesa de  jantar. Imóv...";Quadra 101 Conjunto 4; Samambaia Sul;1;0;1;35;280;285;Nenhuma;0;0;0;0;0;1
310000;Res Park Style   Águas Claras Sul   Rua 25 Norte   Aquele 01 quarto funcional e Aconchegante. Funcional, prático com armários planejados, bem decorado, M A R A V I L H O S O  Posic...;Sul; Brasília;1;1;1;32;0;360;Nenhuma;0;0;0;0;0;1
330000;Apartamento para venda quadra 301, Samambaia Sul 02 quartos sendo 1 com suíte, sala com varanda, 1 banheiro social, cozinha, área de serviço, condomínio com área de lazer completa...;Quadra 301 Conjunto 7; Samambaia Sul;2;1;1;63;0;0;Nenhuma;1;0;1;0;0;0
